ID	mRNA	ORF_strand	ORF_frame	ORF_start	ORF_end	ORF	Fickett	Hexamer	Prob
ALL_BATCH_14.11.1_ORF_1	12820	-	2	4716	3874	843	0.7604	0.451989957181018	2.22044604925031e-16
ALL_BATCH_14.11.1_ORF_2	12820	-	1	5695	5120	576	0.7038	0.316782189564186	2.22044604925031e-16
ALL_BATCH_14.11.1_ORF_3	12820	-	1	12559	12011	549	0.8198	0.220979782868456	2.22044604925031e-16
ALL_BATCH_14.11.1_ORF_4	12820	-	3	2750	2232	519	0.9839	0.504164079491516	2.22044604925031e-16
ALL_BATCH_14.11.1_ORF_5	12820	-	3	11165	10821	345	1.094	0.477511911607099	2.22044604925031e-16
ALL_BATCH_14.11.3_ORF_1	12820	-	2	4716	3874	843	0.7604	0.451989957181018	2.22044604925031e-16
ALL_BATCH_14.11.3_ORF_2	12820	-	1	5695	5120	576	0.7038	0.316782189564186	2.22044604925031e-16
ALL_BATCH_14.11.3_ORF_3	12820	-	1	12559	12011	549	0.8198	0.220979782868456	2.22044604925031e-16
ALL_BATCH_14.11.3_ORF_4	12820	-	3	2750	2232	519	0.9839	0.504164079491516	2.22044604925031e-16
ALL_BATCH_14.11.3_ORF_5	12820	-	3	11165	10821	345	1.094	0.477511911607099	2.22044604925031e-16
ALL_BATCH_6.20.1_ORF_1	1376	-	1	749	531	219	0.8539	0.424036481970536	0.090887135728427
ALL_BATCH_6.20.1_ORF_2	1376	+	1	910	1017	108	0.8173	0.857877487457139	0.00925460279001836
ALL_BATCH_6.20.1_ORF_3	1376	+	3	576	668	93	1.1556	0.112904489838302	0.00146487065597359
ALL_BATCH_6.20.1_ORF_4	1376	+	1	37	117	81	0.8227	-0.168524491571696	0.000394166377171803
ALL_BATCH_6.20.1_ORF_5	1376	+	2	692	772	81	0.8712	0.191843705444138	0.000943070675249441
ALL_BATCH_6.20.2_ORF_1	1501	-	1	874	656	219	0.8539	0.424036481970536	0.0484230879488805
ALL_BATCH_6.20.2_ORF_2	1501	+	3	1035	1142	108	0.8173	0.857877487457139	0.0047321626221572
ALL_BATCH_6.20.2_ORF_3	1501	+	1	1	102	102	0.4468	0.733824123447468	0.00211800111049257
ALL_BATCH_6.20.2_ORF_4	1501	+	2	701	793	93	1.1556	0.112904489838302	0.000746166462314444
ALL_BATCH_6.20.2_ORF_5	1501	+	1	121	201	81	0.8227	-0.168524491571696	0.000200672381645265
ALL_BATCH_6.20.3_ORF_1	3580	-	3	2426	2232	195	1.1835	0.0344241923904401	1.81431452515918e-07
ALL_BATCH_6.20.3_ORF_2	3580	+	3	3114	3221	108	0.8173	0.857877487457139	6.30017696619382e-08
ALL_BATCH_6.20.3_ORF_3	3580	+	1	1216	1317	102	0.4468	0.733824123447468	2.81241928861618e-08
ALL_BATCH_6.20.3_ORF_4	3580	-	2	462	364	99	0.677	1.00473868652445	5.92152441115518e-08
ALL_BATCH_6.20.3_ORF_5	3580	+	2	1916	2008	93	1.1556	0.112904489838302	9.89448017303748e-09
ALL_BATCH_6.35.1_ORF_1	923	-	2	874	716	159	0.8473	0.551518091998663	0.202494356650949
ALL_BATCH_6.35.1_ORF_2	923	-	1	884	732	153	0.9232	1.1185287400681	0.455641919440448
ALL_BATCH_6.35.1_ORF_3	923	-	3	318	199	120	0.3946	0.476343868882033	0.0418133278000971
ALL_BATCH_6.40.1_ORF_1	2115	+	1	1	1626	1626	1.0418	1.305951917816	1
ALL_BATCH_6.40.1_ORF_2	2115	+	2	1742	1966	225	0.6017	0.762681975517651	0.00380016114664995
ALL_BATCH_6.40.1_ORF_3	2115	-	2	158	24	135	1.1103	1.03204078517495	0.000757597555523409
ALL_BATCH_6.40.1_ORF_4	2115	-	3	679	554	126	0.9938	0.293270329276094	9.51312463747817e-05
ALL_BATCH_6.40.1_ORF_5	2115	+	2	17	130	114	1.1114	0.525782072916888	0.000126153522943315
ALL_BATCH_6.42.2_ORF_1	3115	-	3	1640	513	1128	0.9666	1.39270940954662	0.999999983739654
ALL_BATCH_6.42.2_ORF_2	3115	+	3	2166	2936	771	0.982	1.31216495075949	0.999125567872585
ALL_BATCH_6.42.2_ORF_3	3115	+	1	2608	2733	126	1.0112	0.0745329317333021	2.63499769693063e-07
ALL_BATCH_6.42.2_ORF_4	3115	-	1	838	719	120	1.018	0.232536349760077	3.18381783947111e-07
ALL_BATCH_6.42.2_ORF_5	3115	-	1	1051	938	114	1.0252	0.217774428021552	2.58719169804087e-07
ALL_BATCH_6.42.1_ORF_1	4033	-	3	1640	513	1128	0.9666	1.39270940954662	0.999997682883141
ALL_BATCH_6.42.1_ORF_2	4033	+	3	2166	3242	1077	0.973	1.16713229486085	0.999982102507954
ALL_BATCH_6.42.1_ORF_3	4033	-	2	2997	2776	222	0.8495	-0.246241148944556	1.36250115615545e-08
ALL_BATCH_6.42.1_ORF_4	4033	+	1	2608	2733	126	1.0112	0.0745329317333021	1.84910339626635e-09
ALL_BATCH_6.42.1_ORF_5	4033	-	1	838	719	120	1.018	0.232536349760077	2.23423675388851e-09
ALL_BATCH_6.47.1_ORF_1	1702	+	1	64	1362	1299	0.9922	1.03798573473721	0.999999999999898
ALL_BATCH_6.47.1_ORF_2	1702	+	2	998	1126	129	1.2551	-0.672378127151737	0.000133985568789427
ALL_BATCH_6.47.1_ORF_3	1702	-	2	1344	1255	90	0.9765	0.620392209180187	0.000626743940711462
ALL_BATCH_6.47.1_ORF_4	1702	-	2	885	799	87	0.8862	-0.463177474817521	4.37037242244272e-05
ALL_BATCH_6.47.1_ORF_5	1702	+	2	818	901	84	0.9845	-0.08217005599487	0.000104949836788529
ALL_BATCH_6.47.2_ORF_1	2694	+	3	1023	2354	1332	1.0418	1.044226956839	0.999999999992412
